工廠或製造場所名稱,工廠或製造場所地址,工廠登記編號,食品業者登錄字號,驗證業別,驗證效期
"維義事業股份有限公司","高雄市大社區旗楠路103巷23號","64007272","E-184947629-00004-5","食用油脂製造業","106/02/23~108/02/22"
"佳輝香料有限公司","桃園市桃園區大林里大誠路6號","03000467","H-186547893-00001-6","食品添加物製造業","106/03/15~108/03/14"
"雪坊志業股份有限公司","新北市中和區員山路502號7樓之3","65003801","F-124329659-00001-4","乳品加工食品業","106/03/15~108/03/14"
"凱馨實業股份有限公司","雲林縣斗六市民有街52號","99654333","P-186220637-00001-8","肉類加工食品業、罐頭食品製造業","106/03/15~108/03/14"
"新和食品股份有限公司","桃園市平鎮區新安里洪圳路378號","68000680","H-124956270-00001-1","食品添加物製造業","106/03/24~108/03/23"
"長興食品化工原料股份有限公司","臺中市神岡區社南里中山路六六七巷三七弄五號","99642880","B-189687860-00001-2","食品添加物製造業","106/03/21~108/03/20"
"宜康食品有限公司","桃園市楊梅區東流里甡甡路693巷11弄2號","99-624806-01","H-179961852-00001-3","乳品加工食品業","106/03/29~108/03/28"
"聯麒企業有限公司","桃園市桃園區汴洲里春日路１３１４巷四六號","99623286","H-143872602-00001-8","食品添加物製造業","106/03/30~108/03/29"
"茂利澱粉有限公司","臺南市善化區文正里文正路25巷4號","99658905","D-171324108-00001-8","食品添加物製造業","106/04/11~108/04/10"
"豐世紀股份有限公司","雲林縣古坑鄉古坑村中山路５巷３之９號","99654591","P-116725254-00001-6","食品添加物製造業、特殊營養食品製造業、罐頭食品製造業","106/07/13~108/07/12"
"馥瑞馨國際有限公司龜山廠","桃園市龜山區大華里頂湖五街12巷6號（3樓）","68000595","H-128126965-00002-6","食品添加物製造業","106/08/01~108/07/31"
"大安工研食品工廠股份有限公司淡水廠","新北市淡水區埤島里行忠路168號","99694305","F-103028426-00003-1","其他","106/08/09~108/08/08"
"信東生技股份有限公司園區分公司","新竹縣寶山鄉新竹科學工業園區新竹縣寶山鄉工業東九路33號1、2樓","95A00240","J-184149110-00001-6","其他","106/08/15~108/08/14"
"味丹生物科技股份有限公司埤頭工廠","彰化縣埤頭鄉崙腳村興工路３９號","99645607","N-127605517-00001-5","罐頭食品製造業","106/08/22~108/08/21"
"保康生醫股份有限公司永康廠","臺南市永康區尚頂里尚頂路20號","67000321","D-153397819-00001-7","其他","106/08/30~108/08/29"
"小淺雅瑪珂股份有限公司","臺南市麻豆區麻口里麻豆口1之30號﹝6樓﹞","99656444","D-112635106-00001-6","其他","106/09/08~108/09/07"
"順天本草股份有限公司彰化廠","彰化縣鹿港鎮工業東三路10-2號","07000605","N-180183889-00001-7","其他","106/09/08~108/09/07"
"台灣糖業股份有限公司生物科技事業部大林生技廠食品廠區","嘉義縣大林鎮大糖里大湖農場60號","10000197","Q-103794905-00043-8","其他、糖製造業、罐頭食品製造業","106/09/15~108/09/14"
"欣隆食品有限公司南陽廠","新北市汐止區南陽街121巷19號1樓","65005615","F-127374136-00003-9","食品添加物製造業","106/09/15~108/09/14"
"味台食品工業股份有限公司","新北市三重區中興南街二九號","99603655","F-135187282-00001-0","醬油製造業","106/09/23~108/09/22"
"超秦企業股份有限公司","桃園市桃園區中埔里永安路一○六三號","99628941","H-102634682-00001-7","肉類加工食品業","106/09/26~108/09/25"
"新健全企業股份有限公司","嘉義縣太保市過溝里建工路６號","99655739","Q-159222133-00001-2","醬油製造業","106/10/03~108/10/02"
"福壽實業股份有限公司台中港廠","臺中市梧棲區草湳里自強路98號","99639216","B-156192402-00001-9","食用油脂製造業","106/10/04~108/10/03"
"台灣糖業股份有限公司新營副產加工廠食品工場","臺南市柳營區人和里義士路5段690號食品廠區","99-656450-00","D-103794905-00049-1","水產食品業、肉類加工食品業","106/10/04~108/10/03"
"台灣有明食品股份有限公司","屏東縣長治鄉德和村神農路18號","81100058","T-107992883-00001-4","罐頭食品製造業","106/10/12~108/10/11"
"台灣德瑞特生物科技股份有限公司","新竹縣新豐鄉新豐村新和路９６之１號４樓","99700238","J-127648038-00001-6","罐頭食品製造業","106/11/01~108/10/31"
"伍珍醬園有限公司","嘉義縣大林鎮大美里大埔美97號","T1000020","Q-127374831-00001-0","罐頭食品製造業","106/11/02~108/11/01"
"員大食品企業股份有限公司工廠","彰化縣員林市大埔里員大路２段１６７巷１５０號","99645344","N-160333621-00001-6","罐頭食品製造業","106/11/07~108/11/06"
"台灣糖業股份有限公司旗山糖廠","高雄市旗山區忠孝街３３、仁愛街１號","99662076","E-103794905-00069-4","糖製造業","106/11/03~108/11/02"
"光泉牧場股份有限公司大園廠","桃園市大園區南港里大觀路1249號","99621854","H-104313172-00002-8","乳品加工食品業","105/08/22~107/03/10"
"省都乳品股份有限公司","桃園市中壢區合江二路15號","99621888","H-197260749-00001-0","乳品加工食品業","105/08/22~107/03/10"
"統一企業股份有限公司楊梅廠","桃園市楊梅區水美里民富路1段301號、301之1號","99623479","H-173251209-00007-1","乳品加工食品業","105/08/22~107/03/10"
"喬志亞生技股份有限公司","高雄市大樹區竹寮里竹寮路308、309、310號","99661369","E-186114256-00007-2","乳品加工食品業","105/08/22~107/03/10"
"保證責任台灣省嘉南羊乳運銷合作社","嘉義縣太保市過溝里嘉太工業區光復路3號","99654834","Q-112373945-00001-9","乳品加工食品業","105/08/22~107/03/10"
"東海大學實習農牧場牛乳加工廠","臺中市西屯區福恩里台灣大道四段1727號","99669051","B-152362860-00001-2","乳品加工食品業","105/08/22~107/03/10"
"英茗德食品工業股份有限公司","苗栗縣通霄鎮南和里一二鄰一六八號","99677636","K-127600442-00001-4","乳品加工食品業","105/08/22~107/03/10"
"隆昌食品有限公司","新北市土城區中央路一段三六五巷一四號","99600288","F-189778221-00001-8","乳品加工食品業","105/08/22~107/03/10"
"四方乳品工業股份有限公司","苗栗縣竹南鎮大厝里九鄰大厝五九之一三號","99632143","K-184547216-00001-6","乳品加工食品業","105/08/22~107/03/10"
"昌桔食品有限公司土城廠","新北市土城區明權街14號","99600293","F-180537594-00001-5","乳品加工食品業","105/08/22~107/03/10"
"霸力食品工業股份有限公司屏東廠","屏東縣萬巒鄉佳和村佳興路91號","99699787","T-124210202-00001-1","乳品加工食品業","105/08/22~107/03/10"
"台灣比菲多醱酵(股)公司","臺南市新市區中山路259號","99657374","D-112683198-00001-0","乳品加工食品業","105/08/22~107/03/10"
"辰頴股份有限公司","臺南市新營區嘉芳里五福路134號","99656290","D-128801262-00001-1","乳品加工食品業","105/08/22~107/03/10"
"盛發興食品股份有限公司","雲林縣斗六市榴中里民享街1號","99709516","P-124236759-00001-2","乳品加工食品業","105/08/22~107/03/10"
"高雄牧場股份有限公司","高雄市三民區鼎山街530號","64000300","E-175450105-00001-0","乳品加工食品業","105/08/22~107/03/10"
"三福產業股份有限公司","嘉義縣太保市太保里11號","99655303","Q-165010369-00001-5","乳品加工食品業","105/08/22~107/03/10"
"味全食品工業股份有限公司高雄廠","高雄市路竹區北嶺里中山南路51號","99661649","E-111347802-00004-2","乳品加工食品業","105/08/22~107/03/10"
"金門縣畜產試驗所","金門縣金湖鎮惠民農莊17號","96300003","W-200000090-00001-1","乳品加工食品業","105/08/22~107/03/10"
"超能生化科技股份有限公司台東分公司初鹿牧場","臺東縣卑南鄉明峰村牧場路1號","99666378","V-128014434-00001-6","乳品加工食品業","105/08/22~107/03/10"
"意全食品股份有限公司","新竹縣新埔鎮內立里8鄰內立段關埔路83號","99630815","J-186721169-00001-8","乳品加工食品業","105/08/22~107/03/10"
"高大牧場鮮乳工廠","高雄市三民區建國二路230號","64000552","E-175415430-00001-2","乳品加工食品業","105/08/22~107/03/10"
"鈺統食品股份有限公司斗六廠","雲林縣斗六市榴中里民富街21、23、26號","99653663","P-122351303-00001-3","特殊營養食品製造業、乳品加工食品業","105/08/22~107/03/10"
"憶霖企業股份有限公司(斗六二廠)","雲林縣斗六市榴中里斗工二路31號","99709426","P-122452132-00002-6","特殊營養食品製造業","105/08/22~107/03/10"
"麗豐實業股份有限公司","臺南市官田區二鎮里工業路48號","99684950","D-186973523-00001-5","特殊營養食品製造業","105/08/22~107/03/10"
"良友國際食品股份有限公司","臺北市內湖區行忠路 48 號2.3.4.5樓","63022203","A-184285579-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"愛之味股份有限公司嘉義食品廠","嘉義縣民雄鄉興南村工業二路11號","99655965","Q-165534366-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"青葉食品工業股份有限公司中壢廠","桃園市平鎮區北勢里關爺東路22號","99621222","H-111329213-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"泰山企業股份有限公司田中食品廠","彰化縣田中鎮南路里員集路一段788 號","99651166","N-159661701-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"久津實業股份有限公司大甲廠","臺中市大甲區幼獅工業區東六街18號","66001012","B-159003799-00003-4","罐頭食品製造業","105/08/22~107/03/10"
"建利食品股份有限公司","臺中市烏日區溪埧里溪南路一段197巷96號","99634725","B-155881859-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"麥君食品有限公司","臺中市龍井區中和村工業路246巷3號","66001077","B-189226380-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"正康食品有限公司","桃園市新屋區清華里12號","99627335","H-122217448-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"日寶食品工業股份有限公司","臺南市佳里鎮文化路491號","99661200","D-174046902-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"黑松股份有限公司斗六廠","雲林縣斗六市八德里文化路635號","99653050","P-120651901-00002-9","罐頭食品製造業","105/08/22~107/03/10"
"得意中華食品有限公司","高雄市岡山區本洲里本工ㄧ路25號","99704770","E-179999724-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"廣達香食品股份有限公司","新北市新莊區化成路382巷18號","99604192","F-135549807-00001-5","罐頭食品製造業","105/08/22~107/03/10"
"立宏食品有限公司","雲林縣元長鄉山內村頂山路17-12號","99654582","P-180229132-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"大昭製藥生物科技股份有限公司","臺南市官田鄉二鎮村建業路7號","99659079","D-172211588-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"東久生技股份有限公司銅鑼廠","苗栗縣銅鑼鄉銅鑼村民有路34號","99631646","K-123712298-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"龍杏生技製藥股份有限公司","臺南市佳里鎮家福里115之1號A棟","99658188","D-151652905-00001-5","罐頭食品製造業","105/08/22~107/03/10"
"維他露食品股份有限公司第二廠","臺中市西屯區協和里工業區九路15號","99669911","B-151821108-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"狀元醬油股份有限公司","臺中市大肚區沙田路一段388巷35之9號","99633299","B-122238160-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"優良食品工業有限公司","嘉義縣民雄鄉工業區成功二街58號","99655503","Q-196879012-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"佳和食品股份有限公司","彰化縣北斗鎮四海路一段60號","99648583","N-160305152-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"富記食品有限公司泰山廠","新北市泰山區貴陽街5號","99615544","F-104274706-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"晨欣食品有限公司","屏東縣萬巒鄉佳和村佳興路77-5號","99699644","T-112622290-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"偉隆食品罐頭股份有限公司","彰化縣永靖鄉永興村九分路179號","99650883","N-160221317-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"臺灣可果美股份有限公司","臺南市善化鎮小新營394號","99658954","D-171620635-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"鴻盛食品廠股份有限公司","彰化縣員林鎮萬年里員水路二段一巷30號","99651501","N-159885603-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"實邦食品工業股份有限公司","新竹縣竹北市中和街76號","99630404","J-123803109-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"瑞春醬油有限公司福田廠","雲林縣西螺鎮福田里社口68-31號","09000241","P-112629131-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"舜大食品企業有限公司","彰化縣田中鎮三民里拓農路147號","99650880","N-122475769-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"明德食品工業股份有限公司阿蓮廠","高雄市阿蓮區復安里復安172號","99661421","E-188686792-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"全久榮企業股份有限公司","臺南市歸仁區凱旋路二段211巷35號","99711282","D-180114011-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"貴州醬業有限公司","新北市三峽區橫溪路99巷26號","99603622","F-101864046-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"貫金食品股份有限公司","臺南市仁德區忠義二街19.21號","67000170","D-153385139-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"味榮食品工業股份有限公司","臺中市豐原區三村里西勢路 701 號","99634791","B-105698174-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"羽禾食品有限公司","屏東縣萬丹鄉四維村廣維路109巷9號","99699742","T-128666940-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"頂裕食品股份有限公司","臺中市南屯區協和里工業區23路24號","99669232","B-105834987-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"長庚生物科技股份有限公司明志廠","新北市泰山區南泰路 1 號","99693822","F-116753096-00089-7","罐頭食品製造業","105/08/22~107/03/10"
"安安食品工業有限公司","高雄市岡山區為隨里為隨西路69巷19號","99663103","E-107931599-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"新源泉食品廠股份有限公司","彰化縣員林鎮員水路一段580巷1號","99648118","N-159817303-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"聖恩企業股份有限公司","屏東縣內埔鄉豐田村永田路7號","99665526","T-191840263-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"五山食品業有限公司","彰化縣埔心鄉瓦北村柳橋東路250號","99650554","N-159092027-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"中天生物科技股份有限公司龍潭廠","桃園市龍潭區高楊北路81號","99621640","H-170555349-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"澎富企業有限公司","新北市中和區員山路506-1號3樓","65000734","F-128445089-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"建新食品工業股份有限公司","彰化縣彰化市牛埔里一心南街54號","99646129","N-158354402-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"南海食品股份有限公司","高雄市鳥松鄉大同路4巷1弄6號","99661984","E-185653086-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"欣欣生技食品股份有限公司","雲林縣斗六市保長路60號","99653266","P-180390917-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"福記冷凍食品股份有限公司","高雄市路竹鄉中山路268號","99661825","E-188316341-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"新復成食品股份有限公司工廠","彰化縣芬園鄉彰南路三段4號","99650309","N-123868622-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"好品味生技食品股份有限公司","彰化縣北斗鎮新工一路108號","99645612","N-122812946-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"真口味食品企業股份有限公司龍泉二廠","屏東縣內埔鄉東寧村北寧路446之1號","99665689","T-183399785-00002-1","罐頭食品製造業","105/08/22~107/03/10"
"大湖草莓農場","苗栗縣獅潭鄉竹木村4鄰北庄11-2號","99677403","K-149801561-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"富統食品股份有限公司","屏東縣萬丹鄉泉順街439巷37號","99666199","T-123344294-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"世鑫食品股份有限公司","臺南市永康市經華路16號","99660481","D-123009572-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"西螺大同醬油股份有限公司","雲林縣斗六市工業區斗工二路39號","99653082","P-123539782-00005-7","罐頭食品製造業","105/08/22~107/03/10"
"好得壯實業股份有限公司楊梅廠","桃園市楊梅區高山里高獅路152號","99629048","H-107662659-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"統一企業股份有限公司楊梅二廠","桃園市楊梅區水美里民富路一段301號","99628489","H-173251209-00008-2","罐頭食品製造業","105/08/22~107/03/10"
"甲芝生物科技股份有限公司觀音廠","桃園市觀音區樹林村工業二路18號","99621937","H-116879980-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"大華神農生物科技股份有限公司","高雄市燕巢區安北路580號","64006583","E-153588556-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"榮祺食品工業股份有限公司雲林廠","雲林縣元長鄉下寮村興工街9號","99653076","P-164882090-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"天恩食品有限公司頂六廠","嘉義縣中埔鄉金蘭村四鄰24-11號","99654702","Q-116907563-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"維力食品工業股份有限公司","彰化縣田中鎮員集路三段465號","99648408","N-159869913-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"鮮而美食品工業有限公司","屏東縣萬丹鄉上村社皮路一段35號","T1300027","T-186234359-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"英屬維京群島商太古可口可樂股份有限公司台灣分公司高雄廠","高雄市燕巢鄉安招村新厝巷17-24號","99662703","E-180033073-00002-8","罐頭食品製造業","105/08/22~107/03/10"
"活寶食品股份有限公司","宜蘭縣冬山鄉太和村太和路500號","99620343","G-140592607-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"華南食品工業股份有限公司","南投縣南投市南崗工業區自立一路9號","99652380","M-161772289-00003-5","罐頭食品製造業","105/08/22~107/03/10"
"隆育企業有限公司龍德廠","宜蘭縣冬山鄉德興四路17號","99620408","G-142100728-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"龍宏農產食品加工廠","雲林縣林內鄉烏麻村永昌1-60號","T0900034","P-145529371-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"久津實業股份有限公司","彰化縣福興鄉萬豐村興業路12、14號","99645536","N-159003799-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"梅統有限公司","南投縣埔里鎮雙吉路47-3號","99652701","M-184618788-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"大江生醫股份有限公司農科分公司","屏東縣長治鄉德和村神農路12號","81100021","T-112292039-00002-7","罐頭食品製造業","105/08/22~107/03/10"
"名牌食品股份有限公司頭城廠","宜蘭縣頭城鎮拔雅里吉祥路236巷1號","99620327","G-123159760-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"同榮實業股份有限公司","宜蘭縣冬山鄉香和村14鄰香中路1號","99620106","G-141615109-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"葡萄王生技股份有限公司","桃園市中壢區龍岡路三段60號","99625019","H-111880517-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"慶呱呱食品廠有限公司","彰化縣伸港鄉全興村濱海路51巷13弄30號","99647650","N-122288772-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"菊之鱻食品有限公司","澎湖縣馬公市鎖港里1062號","16000004","X-128133207-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"幸鑫食品工業股份有限公司斗南廠","雲林縣斗南鎮新南里南勢200號","99653965","P-164975674-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"珍苑食品股份有限公司","臺北市士林區倫等街51號","63022317","A-154359882-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"茗源食品工業股份有限公司","雲林縣斗六市榴中里復興路51號","99653214","P-122680662-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"高慶泉股份有限公司南投廠","南投縣南投市南崗工業區工業北三路2號","99652094","M-123004247-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"南僑化學工業股份有限公司中壢廠","桃園市中壢區中壢工業區吉林路16號","99622572","H-107305506-00002-3","罐頭食品製造業","105/08/22~107/03/10"
"台灣糖業股份有限公司小港廠","高雄市小港區小港里小港路133號","64000167","E-103794905-00044-7","食用油脂","105/08/22~107/03/10"
"豐年豐和企業股份有限公司上崙一廠","臺南市仁德區上崙里崑崙路201號","99656497","D-116635562-00001-6","食用油脂","105/08/22~107/03/10"
"大統益股份有限公司","臺南市官田區二鎮里工業西路32號","99657614","D-120927014-00001-7","食用油脂","105/08/22~107/03/10"
"長青油脂工業股份有限公司斗六廠","雲林縣斗六市榴南里斗工二路42號","99654668","P-134727044-00001-5","食用油脂","105/08/22~107/03/10"
"富鼎資源科技股份有限公司","彰化縣芳苑鄉仁愛村斗苑路芳苑段63號","99680913","N-128914884-00001-6","食用油脂","105/08/22~107/03/10"
"明鼎工業股份有限公司工廠","雲林縣斗南鎮明昌里中興路五０五號","99653353","P-159331940-00001-8","食用油脂","105/08/22~107/03/10"
"福懋油脂股份有限公司(油脂廠)","臺中市大肚區福山里沙田路一段四五三之一號","99636024","B-184309170-00001-2","食用油脂","105/08/22~107/03/10"
"高野農業生技股份有限公司斗六廠","雲林縣斗六市鎮西里雲林路二段152號","09000251","P-186105593-00001-1","食用油脂","105/08/22~107/03/10"
"南僑化學工業股份有限公司桃園廠","桃園市龜山鄉山頂村興邦路35號","99622694","H-107305506-00001-2","食用油脂","105/08/22~107/03/10"
"統清股份有限公司","臺南市永康區鹽行里中正路301號之3號","99659968","D-123870802-00006-7","食用油脂","105/08/22~107/03/10"
"富味鄉食品股份有限公司第二廠","彰化縣芳苑鄉仁愛村斗苑路芳苑段73號","99646837","N-112467902-00001-3","食用油脂","105/08/22~107/03/10"
"中聯油脂股份有限公司台中港廠","臺中市清水區海濱里北堤路一之八號","99638945","B-189480404-00001-7","食用油脂","105/08/22~107/03/10"
"泰山企業股份有限公司田中廠","彰化縣田中鎮南路里興工路6、8號","99651164","N-159661701-00002-8","食用油脂","105/08/22~107/03/10"
"美藍雷股份有限公司永康廠","臺南市永康區王行里環工路87號Ｂ棟","99709792","D-123670889-00001-5","食用油脂","105/08/22~107/03/10"
"香里食品企業股份有限公司南投廠","南投縣南投市平山里仁和路3號","99652760","M-115979217-00001-2","食用油脂","105/08/22~107/03/10"
"豐年豐和企業股份有限公司上崙二廠","臺南市仁德區上崙里崑崙路203號","99656500","D-116635562-00009-4","食用油脂","105/08/22~107/03/10"
"幸福兄弟企業股份有限公司","新北市樹林區太順街一一六號","99613938","F-115222727-00001-2","食用油脂","105/08/22~107/03/10"
"振芳股份有限公司","新北市五股區五工六路19號","99601954","F-103341208-00001-5","食品添加物製造業","105/08/22~107/03/10"
"晨為企業股份有限公司","臺中市北屯區崇德路三段987-1號","T6600649","B-186641736-00003-3","食品添加物製造業","105/08/22~107/03/10"
"紘一實業有限公司三重廠","新北市三重區光復路二段四二巷一五號一~三樓","99719749","F-186202244-00001-2","食品添加物製造業","105/08/22~107/03/10"
"竹聯實業股份有限公司斗六廠","雲林縣斗六市榴南里斗工六路53號","99653112","P-184351417-00001-7","食品添加物製造業","105/08/22~107/03/10"
"盛源食品原料股份有限公司","新北市三峽區溪東路86號1樓","99719061","F-104674421-00001-2","食品添加物製造業","105/08/22~107/03/10"
"三益化工香料有限公司","新北市中和區建三路57號7樓","99603380","F-122911946-00001-8","食品添加物製造業","105/08/22~107/03/10"
"益品食品有限公司","新北市汐止區長安路179號1樓","65001465","F-153685001-00001-2","食品添加物製造業","105/08/22~107/03/10"
"振源食品科技股份有限公司","新北市汐止區八連路一段七八巷一號","99689272","F-118852136-00001-8","食品添加物製造業","105/08/22~107/03/10"
"德記香料化學有限公司","新北市深坑區北深路3段141巷2號4樓","65001489","F-120992859-00001-8","食品添加物製造業","105/08/22~107/03/10"
"佳信食品工業股份有限公司","臺中市梧棲區草湳里自立三街69號","99633680","B-184250163-00001-9","食品添加物製造業","105/08/22~107/03/10"
"台灣志氯化學股份有限公司碱氯廠","高雄市小港區鳳森里中智街25號","64004396","E-122318516-00001-1","食品添加物製造業","105/08/22~107/03/10"
"祥旺食品工業股份有限公司","臺中市大甲區日南里工十路7號","99704008","B-180162337-00001-0","食品添加物製造業","105/08/22~107/03/10"
"美淳香料股份有限公司台中廠","臺中市西屯區協和里工業區三十九路41號","99702272","B-189377675-00001-2","食品添加物製造業","105/08/22~107/03/10"
"廣福林有限公司","桃園市八德區大發里富榮街294號1樓","99688912","H-122868808-00001-8","食品添加物製造業","105/08/22~107/03/10"
"味丹企業股份有限公司沙鹿第一工廠","臺中市沙鹿區斗抵里興安路六三號","99638779","B-156121907-00001-1","食品添加物製造業","105/08/22~107/03/10"
"協成化工股份有限公司","彰化縣員林鎮振興里員水路一段253、255、257、259號","T0700375","N-160202542-00001-3","食品添加物製造業","105/08/22~107/03/10"
"味特生物科技股份有限公司","彰化縣大村鄉大橋村中山路三段95號","99680727","N-128151176-00001-3","食品添加物製造業","105/08/22~107/03/10"
"裕馨國際食品科技有限公司","臺中市西屯區協和里工業區三十八路210號4樓之7","99671694","B-155746186-00001-2","食品添加物製造業","105/08/22~107/03/10"
"艾博大企業股份有限公司南投廠","南投縣南投市永豐里工業路45號","99722022","M-197109195-00001-2","食品添加物製造業","105/08/22~107/03/10"
"昭元化成股份有限公司食添廠","桃園市中壢市中福里吉林路9號","68000582","H-104404855-00004-9","食品添加物製造業","105/08/22~107/03/10"
"祥豪興業有限公司","彰化縣員林鎮崙雅里崙雅巷8之15號","99647723","N-122907817-00001-8","食品添加物製造業","105/08/22~107/03/10"
"明台化工股份有限公司","桃園市八德區竹園里新興路1142號","99625206","H-143651729-00001-3","食品添加物製造業","105/08/22~107/03/10"
"誌滿興業有限公司新屋廠","桃園市新屋鄉清華村15鄰北勢34號","99623339","H-122749178-00001-6","食品添加物製造業","105/08/22~107/03/10"
"龍源香料股份有限公司楊梅廠","桃園市楊梅市高山里高獅路816號","99626930","H-115490309-00001-7","食品添加物製造業","105/08/22~107/03/10"
"億元食品股份有限公司七堵廠","基隆市七堵區六堵里工建路5之4號","99702501","C-122160732-00001-4","食品添加物製造業","105/08/22~107/03/10"
"京華堂實業股份有限公司內湖廠","臺北市內湖區港墘里瑞光路二五八巷五十二號一樓","63020517","A-184478111-00001-3","食品添加物製造業","105/08/22~107/03/10"
"德久化學股份有限公司大園工廠","桃園市大園鄉內海村中山北路267號","99622417","H-131279346-00001-1","食品添加物製造業","105/08/22~107/03/10"
"台芳香料化學股份有限公司","新北市新店區寶橋路235巷8號6樓","99602623","F-104987107-00001-0","食品添加物製造業","105/08/22~107/03/10"
"環泰企業股份有限公司南崁廠","桃園市蘆竹鄉蘆竹村南青路1156巷75號","99624013","H-112529007-00001-2","食品添加物製造業","105/08/22~107/03/10"
"永詮食品股份有限公司觀音廠","桃園市觀音鄉觀音工業區大同二路16號","99621811","H-122165244-00001-2","食品添加物製造業","105/08/22~107/03/10"
"統園企業股份有限公司士林廠","臺北市士林區大南路361號8樓之1","63022172","A-122387885-00001-2","食品添加物製造業","105/08/22~107/03/10"
"詮亞股份有限公司","南投縣南投市永豐里工業北一路四號","99652872","M-186823594-00001-6","食品添加物製造業","105/08/22~107/03/10"
"立弘生化科技股份有限公司精密化學廠","桃園市觀音區觀音工業區工業六路6號","99621956","H-112971536-00001-0","食品添加物製造業","105/08/22~107/03/10"
"千賓香精原料有限公司","新北市新店區中正路四維巷八弄九號二樓","65002921","F-103049203-00001-5","食品添加物製造業","105/08/22~107/03/10"
"韋冠實業有限公司","新北市深坑區北深路3段276號6樓","65003270","F-170447095-00001-0","食品添加物製造業","105/08/22~107/03/10"
"沅哲有限公司","新北市林口區粉寮路二段24號1、2、3樓","65003031","F-112692534-00002-7","食品添加物製造業","105/08/22~107/03/10"
"旭梅企業有限公司","新北市瑞芳區頂坪路九０號","99602039","F-131118948-00001-9","食品添加物製造業","105/08/22~107/03/10"
"佶露有限公司","新北市新莊區化成路124號及124號2樓","99606469","F-116994145-00001-3","食品添加物製造業","105/08/22~107/03/10"
"宏俊實業股份有限公司","高雄市大社區旗楠路115號","99663266","E-123959329-00001-5","食品添加物製造業","105/08/22~107/03/10"
