年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,檢驗結果
"101","精選尖糯白米","振合碾米廠","高雄市仁武區鳳仁路225巷32號","台灣","0.014","0.001","0.011","合格"
"101","胚芽米","振合碾米廠","高雄市仁武區鳳仁路225巷32號","台灣","0.012","0.002","未檢出","合格"
"101","白米","六龜區農會生鮮超市","高雄市六龜區光復路107號","台灣","0.01","0.002","0.018","合格"
"101","白米","六龜區農會生鮮超市","高雄市六龜區光復路107號","台灣","0.008","0.002","未檢出","合格"
"101","白米C7-SELBCT國產精選米","7-11便利商店","高雄市六龜區光復路98號","台灣","0.011","0.001","0.009","合格"
"101","水稻","屏東市農會碾米廠","屏東市橋南里工業路3號","台灣","0.02","0.003","0.03","合格"
"101","水稻","屏東市順寶碾米廠","屏東市中正路255-3號","台灣","0.026","0.004","0.008","合格"
"101","水稻","屏東市聯昌碾米廠","屏東市大同路10號","台灣","0.025","0.004","0.008","合格"
"101","米","屏東市順元碾米廠","屏東市瀋陽街28號","台灣","0.02","0.016","未檢出","合格"
"101","米","屏東市順元碾米廠","屏東市瀋陽街28號","台灣","0.013","0.015","0.025","合格"
"101","白米","屏東市農會碾米廠","屏東市橋南里工業路2號","台灣","0.005","0.003","未檢出","合格"
"101","白米","屏東市順寶碾米廠","屏東市中正路255-3號","台灣","0.011","0.001","0.009","合格"
"101","白米","屏東市聯昌碾米廠","屏東市大同路10號","台灣","0.008","0.002","未檢出","合格"
"101","白米","屏東市順元碾米廠","屏東市瀋陽街28號","台灣","0.009","0.004","0.007","合格"
"101","糙米","屏東市順元碾米廠","屏東市瀋陽街28號","台灣","0.006","0.001","0.009","合格"
"102","連香米","新松仁碾米工廠","桃園縣楊梅鎮高山里一鄰梅高路206號","台灣","0.13","0.002","0.01","合格"
"102","白米","菓林碾米行","桃園縣大園鄉菓林村8鄰50之3號","台灣","0.09","0.002","0.01","合格"
"102","白米(壽司米)","金益碾米工廠","桃園縣大溪鎮南興里仁和路二段190巷99號","台灣","0.14","0.002","0.03","合格"
"102","米","大園鄉農會大園碾米工廠","桃園縣大園鄉橫峰村中正東路103號","台灣","0.15","0.002","0.02","合格"
"102","蓬萊米","建興碾米廠","桃園縣大園鄉五權村五青路68號","台灣","0.12","0.001","0.01","合格"
"102","白米","新松仁碾米工廠","桃園縣楊梅鎮高山里一鄰梅高路206號","台灣","0.12","0.002","0.01","合格"
"102","白米","菓林碾米行","桃園縣大園鄉菓林村8鄰50之3號","台灣","0.12","0.002","0.01","合格"
"102","白米","金益碾米工廠","桃園縣大溪鎮南興里仁和路二段190巷99號","台灣","0.09","0.002","0.01","合格"
"102","特選圓儒白米","建興碾米廠","桃園縣大園鄉五青路68號","台灣","0.02","0.004","0.01","合格"
"102","台梗九號玄昌米","新永吉碾米廠","桃園縣大園鄉田心村大觀路101號","台灣","0.02","0.002","未檢出","合格"
"102","白米","芎林鄉農會供銷部(碾米廠)","新竹縣芎林鄉上山村文山路626號","台灣","0.09","0.004","0.01","合格"
"102","皇帝米","銘鑫碾米廠","新竹縣竹北市大華路1143號","台灣","0.05","0.004","0.01","合格"
"102","田間物語蓬萊白米","得意碾米工廠","新竹縣新豐鄉青埔村4鄰57-1號","台灣","0.07","0.003","0.01","合格"
"102","連香牌香米","協進碾米廠","新竹縣竹北市中正西路1128號","台灣","0.05","0.003","0.01","合格"
"102","皇帝米","銘鑫碾米廠","新竹縣竹北市大華路1143號","台灣","0.05","0.003","0.01","合格"
"102","白米","芎林鄉農會供銷部碾米廠","新竹縣芎林鄉上山村文山路626號","台灣","0.03","0.003","0.01","合格"
"102","連春牌香米","協進碾米廠","新竹縣竹北市中正西路1128號","台灣","0.04","0.003","0.01","合格"
"102","田間物語蓬萊白米","得意碾米工廠","新竹縣新豐鄉青埔村4鄰57-1號","台灣","0.06","0.002","0.01","合格"
"102","秈稻米","農泉碾米廠","宜蘭縣壯園鄉永美路3段96號","台灣","0.21","0.007","0.01","合格"
"102","秈稻米","美豐碾米廠","宜蘭縣礁溪鄉林美村(路)116-9號","台灣","0.13","0.006","0.01","合格"
"102","長鮮米","良友碾米廠","宜蘭縣三星鄉萬德路88號","台灣","0.06","0.005","0.01","合格"
"102","白米","錦東碾米廠","宜蘭縣五結鄉公園路386號","台灣","0.27","0.003","0.01","合格"
"102","香米","礁溪農會碾米廠","宜蘭縣礁溪鄉興農路127號","台灣","0.1","0.002","0.01","合格"
"102","蓬萊米","礁溪農會碾米廠","宜蘭縣礁溪鄉興農路127號","台灣","0.04","0.002","0.01","合格"
"102","米","華豐碾米廠","宜蘭縣冬山鄉東城村香城路361號","台灣","0.19","0.003","0.01","合格"
"102","蓬萊米","佳豐碾米廠","宜蘭縣壯圍鄉大福路3段2號","台灣","0.18","0.003","0.01","合格"
"102","蓬萊白米","員山鄉農會深溝碾米廠","宜蘭縣員山鄉惠民路221巷8號","台灣","0.15","0.003","0.01","合格"
"102","白米","建和行","宜蘭縣五結鄉親河路1段236、238號","台灣","0.07","0.003","0.01","合格"
"102","白米","信安糧食行","花蓮縣富里鄉學田村10-1號","台灣","0.03","0.004","0.01","合格"
"102","白米","花東製米股份有限公司","花蓮縣富里鄉富南村公埔路186號","台灣","0.03","0.004","0.01","合格"
"102","白米","銀川碾米廠","花蓮縣富里鄉富里村二段公埔路75號","台灣","0.02","0.003","0.01","合格"
"102","白米","富里鄉農會供銷部","花蓮縣富里鄉羅山村9鄰東湖6號","台灣","0.08","0.004","0.01","合格"
"102","白米","池上米東竹碾米工廠","花蓮縣富里鄉竹田5鄰東竹99號","台灣","0.01","0.005","0.01","合格"
"102","白米","東里碾米工廠","花蓮縣富里鄉東里1鄰大庄1號","台灣","0.09","未檢出","0.01","合格"
"102","白米","玉成碾米工廠","花蓮縣玉里鎮中山路一段193號","台灣","0.04","0.001","0.01","合格"
"102","白米","全豐碾米工廠","花蓮縣玉里鎮中山路一段149號","台灣","0.06","0.002","0.01","合格"
"102","白米","龔記實業社","花蓮縣玉里鎮中山路一段118號","台灣","0.06","0.002","0.01","合格"
"102","白米","銀川碾米廠","花蓮縣富里鄉富里村公埔二段75號","台灣","0.03","0.003","0.01","合格"
"102","白米","花東製米股份有限公司","花蓮縣富里鄉富里村公埔186號","台灣","0.03","0.002","0.01","合格"
"102","白米","信安糧食行","花蓮縣富里鄉學田村民權路10號","台灣","0.04","0.002","0.04","合格"
"102","白米","東里碾米工廠","花蓮縣富里鄉東里村大莊路1鄰1號","台灣","0.04","0.001","0.01","合格"
"102","白米","富里鄉農會供銷部","花蓮縣富里鄉羅山村9鄰東湖6號","台灣","0.02","0.001","0.01","合格"
"102","白米","池上米東竹碾米工廠","花蓮縣富里鄉竹田村5鄰東竹99號","台灣","0.02","0.002","0.01","合格"
"102","白米","玉成碾米工廠","花蓮縣玉里鎮中山路1段193號","台灣","0.03","0.002","0.01","合格"
"102","白米","全豐碾米廠","花蓮縣玉里鎮中山路1段149號","台灣","0.03","0.002","0.01","合格"
"102","白米","龔記企業社","花蓮縣玉里鎮中山路1段118號","台灣","0.04","0.001","0.01","合格"
"102","米","梓園碾米工廠","台東縣關山鎮德高里永豐69之1號","台灣","未檢出","0.002","0.03","合格"
"102","米","建興碾米廠","台東縣池上鄉中山路193號","台灣","0.021","0.003","0.03","合格"
"102","米","長濱鄉農會忠勇倉庫","台東縣長濱鄉忠勇村2鄰26-5號","台灣","0.01","0.003","0.02","合格"
"102","米","關山鎮農會碾米加工廠","台東縣關山鎮德高里東庄路30-1.2.3號","台灣","0.01","0.004","0.02","合格"
"102","米","協成製材碾米工廠","台東縣鹿野鄉永安村10鄰中華路三段281巷9號","台灣","0.009","0.002","0.028","合格"
"102","食用米","梓園碾米工廠","台東縣關山鎮德高里永豐69之1號","台灣","0.005","0.002","0.01","合格"
"102","食用米","建興碾米廠","台東縣池上鄉中山路193號","台灣","0.014","0.006","0.01","合格"
"102","米","長濱鄉農會忠勇倉庫","台東縣長濱鄉忠勇村2鄰26號","台灣","0.008","0.005","0.01","合格"
"102","米","關山鎮農會碾米加工廠","台東縣關山鎮德高里東庄路30-1.2.3號","台灣","0.02","0.002","0.02","合格"
"102","米","協成製材碾米工廠","台東縣鹿野鄉永安村10鄰中華路三段281巷9號","台灣","0.02","0.002","0.02","合格"
"102","白米","泉順食品企業股份有限公司 (山水米實業股份有限公司)","苗栗縣苑裡鎮玉田里91-1號","台灣","0.08","0.003","0.03","合格"
"102","台梗9號白米","泉順碾米工廠後龍場","苗栗縣後龍鎮埔頂里17鄰中華路1016號","台灣","0.07","0.003","0.03","合格"
"102","食米","永裕碾米廠","苗栗縣大湖鄉中正路3號","台灣","0.05","0.003","0.01","合格"
"102","山城牌壽司米","義合工廠","苗栗縣頭份鎮廣興里2鄰27-11號","台灣","0.05","0.004","0.03","合格"
"102","白米","泉順碾米工廠後龍場","苗栗縣後龍鎮埔頂里17鄰中華路1016號","台灣","0.02","0.004","0.04","合格"
"102","白米","永裕碾米廠","苗栗縣大湖鄉中正路3號","台灣","0.04","未檢出","0.01","合格"
"102","蓬萊白米","義合工廠","苗栗縣頭份鎮廣興里2鄰27-11號","台灣","0.02","未檢出","0.03","合格"
"102","學午糧(102年第一期)","泉順食品企業股份有限公司","苗栗縣苑裡鎮玉田里91-1號","台灣","0.05","未檢出","0.01","合格"
"102","米","台中市大雅區農會","台中市大雅區田心街21號","台灣","0.08","0.004","0.02","合格"
"102","米","大里區農會碾米廠","台中市大里區西湖路116號","台灣","0.1","0.003","0.03","合格"
"102","頭等倉米","神岡區農會供銷部","台中市神岡區光啟路126號","台灣","0.03","0.003","0.03","合格"
"102","白米","大里區農會購物中心","台中市大里區新興路101號","台灣","0.04","0.004","0.02","合格"
"102","香米","台中市台中地區農會南部分布","台中市南區復興路三段147號","台灣","0.1","0.004","0.02","合格"
"102","大地富甲原鄉味","台中縣大甲鎮農會頂店工廠","台中市大甲區中山路一段1372號","台灣","0.05","0.003","0.02","合格"
"102","白米","大里區農會購物中心","台中市大里區新興路101號","台灣","0.09","0.003","0.02","合格"
"102","清水米","台中市清水區農會","台中市清水區中山路94號","台灣","0.06","0.01","0.09","合格"
"102","白米益全香米(台農71號)","金山飼料米行","台中市太平區中山路三段123號","台灣","0.09","0.007","0.07","合格"
"102","欣燦米","台中市潭子區農會碾米工廠","台中市潭子區雅潭路二段382號","台灣","0.08","0.006","0.01","合格"
"102","香米(白米)","大里區農會","台中市大里區新興路101號","台灣","0.07","0.003","0.01","合格"
"102","香米","台中市台中地區農會供銷部","台中市南屯路2段636號","台灣","0.07","0.003","0.01","合格"
"102","大雅米(台梗16號米)","台中市大雅區農會","台中市大雅區田心街21號","台灣","0.05","未檢出","0.01","合格"
"102","米","日昌碾米工廠","台中市霧峰區丁台村丁台路450號","台灣","0.08","未檢出","0.02","合格"
"102","蓬萊米","宏元米廠","彰化縣福興鄉外中村外中街426號","台灣","0.15","0.004","0.02","合格"
"102","食米","陸和碾米工廠","彰化縣埤頭鄉中和村溪林路406號","台灣","0.01","0.003","0.02","合格"
"102","食米","慶豐碾米工廠","彰化縣埤頭鄉中和村廟前路34號","台灣","0.04","0.004","0.01","合格"
"102","白米","協春碾米工廠","彰化縣大村鄉大溪路29號","台灣","0.04","0.003","0.02","合格"
"102","壽司米","源泰碾米廠","彰化縣溪湖鎮二溪路2段121號","台灣","0.02","0.002","0.04","合格"
"102","蓬萊米","聯米企業股份有限公司","彰化縣埤頭鄉彰水路2段526號","台灣","0.04","0.003","0.01","合格"
"102","八田米","復源碾米工廠","彰化縣和美鎮中圍里東興路158號","台灣","0.04","0.006","0.02","合格"
"102","福王壽司米","新榮義碾米工廠","彰化縣和美鎮中圍里東興路72號","台灣","0.05","0.005","0.01","合格"
"102","金墩米(白米)","金墩實業股份有限公司","彰化縣花壇鄉金福街220號","台灣","0.06","0.005","0.03","合格"
"102","金墩米(優池圓米)","金墩實業股份有限公司","彰化縣花壇鄉金福街220號","台灣","0.06","0.004","0.06","合格"
"102","連春牌香米","金連春實業有限公司","彰化縣花壇鄉中山路1段196號","台灣","0.06","0.005","0.04","合格"
"102","日米","張源興碾米廠","彰化縣員林鎮員東路2段350號","台灣","0.02","0.003","0.01","合格"
"102","台梗九號米","正發米行","彰化縣員林鎮三民東街415號","台灣","0.02","0.003","0.03","合格"
"102","雅田米","正發米行","彰化縣員林鎮三民東街415號","台灣","0.04","0.003","0.01","合格"
"102","日米","溢田碾米","彰化縣員林鎮中山路2段118號","台灣","0.04","0.004","0.06","合格"
"102","長秈米","和豐碾米工廠","彰化縣鹿港鎮鹿和路一段411號","台灣","0.07","0.003","0.01","合格"
"102","長鮮米","儀立碾米廠","彰化縣鹿場鎮鹿草路2段814號","台灣","0.05","0.003","0.01","合格"
"102","蓬萊米","宏元米廠","彰化縣福興鄉外中村外中街426號","台灣","0.02","0.006","0.03","合格"
"102","頂級壽司米","聯米企業股份有限公司","彰化縣埤頭鄉彰水路2段526號","台灣","0.03","0.007","0.02","合格"
"102","白米","源泰碾米廠","彰化縣溪湖鎮二溪路2段121號","台灣","0.02","0.01","未檢出","合格"
"102","白米","協春碾米工廠","彰化縣大村鄉大溪路29號","台灣","0.05","0.009","未檢出","合格"
"102","食米","陸和碾米工廠","彰化縣埤頭鄉中和村溪林路406號","台灣","0.02","0.01","0.02","合格"
"102","食米","慶豐碾米工廠","彰化縣埤頭鄉中和村廟前路34號","台灣","0.05","0.009","0.01","合格"
"102","八田米","復源碾米工廠","彰化縣和美鎮中圍里東興路158號","台灣","0.02","0.005","0.02","合格"
"102","福王壽司米","新榮義碾米工廠","彰化縣和美鎮中圍里東興路72號","台灣","0.01","0.004","0.02","合格"
"102","連春牌香米","金連春實業有限公司","彰化縣花壇鄉中山路1段196號","台灣","0.04","0.006","0.03","合格"
"102","金墩米(白米)","金墩實業股份有限公司","彰化縣花壇鄉金福街220號","台灣","0.05","0.005","0.03","合格"
"102","金墩米(優池圓米)","金墩實業股份有限公司","彰化縣花壇鄉金福街220號","台灣","0.03","0.005","0.06","合格"
"102","長秈米","和豐碾米工廠","彰化縣鹿港鎮鹿和路一段411號","台灣","0.03","0.005","0.01","合格"
"102","長鮮米","儀立碾米廠","彰化縣鹿場鎮鹿草路2段814號","台灣","0.04","未檢出","0.01","合格"
"102","白米","溢田碾米","彰化縣員林鎮中山路2段118號","台灣","0.02","未檢出","0.01","合格"
"102","台梗九號米","正發米行","彰化縣員林鎮三民東街415號","台灣","0.01","未檢出","未檢出","合格"
"102","雅田米","正發米行","彰化縣員林鎮三民東街415號","台灣","0.02","未檢出","0.01","合格"
"102","白米","張源興碾米廠","彰化縣員林鎮員東路2段350號","台灣","0.01","未檢出","0.01","合格"
"102","埔農米","埔里鎮農會","南投縣埔里鎮西安路一段6號","台灣","0.1","0.002","0.02","合格"
"102","米","竹山鎮農會碾米廠","南投縣竹山鎮佪瑤新村1巷39號","台灣","0.09","0.008","0.02","合格"
"102","埔農米","埔里鎮農會","南投縣埔里鎮西安路一段6號","台灣","0.01","0.007","0.04","合格"
"102","米","竹山鎮農會碾米廠","南投縣竹山鎮佪瑤新村1巷39號","台灣","0.06","0.007","0.01","合格"
"102","白米","億東企業公司雲林二廠","雲林縣西螺鎮福田里社口68-39號","台灣","0.03","0.004","0.02","合格"
"102","白米","合德碾米廠","雲林縣西螺鎮社口68-40號","台灣","0.03","0.003","0.03","合格"
"102","白米","正昇輾米工廠股份有限公司","雲林縣西螺鎮頂湳里32之2號","台灣","0.03","0.003","0.01","合格"
"102","西螺米","梅竹商號","雲林縣崙背鄉中山路314號","台灣","0.03","0.003","0.01","合格"
"102","米","順發碾米工廠","雲林縣崙背鄉永昌路66號","台灣","0.02","0.004","0.01","合格"
"102","白米","東遠碾米工廠","雲林縣二崙鄉崙西村中山路365號","台灣","0.03","0.004","0.01","合格"
"102","白米","二崙鄉農會碾米工廠","雲林縣二崙鄉崙西村中興路12號","台灣","0.03","0.005","0.03","合格"
"102","白米","億東企業公司雲林二廠","雲林縣二崙鄉崙西村中山路357號","台灣","0.01","0.008","0.01","合格"
"102","食米","金桔工廠","雲林縣四湖鄉鹿場村下鹿場路75號","台灣","0.03","0.004","0.02","合格"
"102","白米","富源碾米工廠","雲林縣大埤鄉嘉興村17號","台灣","0.11","0.004","0.03","合格"
"102","白米","安東發碾米工廠","雲林縣大埤鄉嘉興村3-1號","台灣","0.04","0.004","0.02","合格"
"102","白米","同利商行","雲林縣林內鄉中正路177號","台灣","0.06","0.003","0.02","合格"
"102","白米","黃木慶米店","雲林縣林內鄉中正路176號","台灣","0.04","0.003","0.02","合格"
"102","白米","振裕記碾米工廠","雲林縣虎尾鎮三合里舊部1-13號","台灣","0.02","0.003","0.04","合格"
"102","國產白米","建通糧食工廠","雲林縣虎尾鎮川里頂南41-28號","台灣","0.04","0.002","0.01","合格"
"102","白米","大豐碾米工廠","雲林縣荊桐鄉大美村大埔尾101號","台灣","0.06","0.004","0.02","合格"
"102","白米","雲林縣南和合作農場碾米廠","雲林縣元長鄉內寮村內寮路三號","台灣","0.02","0.002","0.02","合格"
"102","國產白米","梅竹商號","雲林縣崙背鄉中山路314號","台灣","0.01","0.008","0.04","合格"
"102","國產白米","順發碾米工廠","雲林縣崙背鄉永昌路66號","台灣","0.02","0.007","0.02","合格"
"102","白米","合德碾米廠","雲林縣西螺鎮社口68-40號","台灣","0.02","0.01","0.02","合格"
"102","白米","億東企業公司雲林二廠","雲林縣西螺鎮福田里社口68-39號","台灣","0.01","0.008","0.03","合格"
"102","白米","正昇輾米工廠股份有限公司","雲林縣西螺鎮頂湳里32之2號","台灣","0.02","0.007","0.01","合格"
"102","白米","億東企業公司雲林二廠","雲林縣二崙鄉崙西村中山路357號","台灣","0.02","0.002","0.01","合格"
"102","白米","東遠碾米工廠","雲林縣二崙鄉崙西村中山路365號","台灣","0.01","0.003","0.02","合格"
"102","白米","二崙鄉農會碾米工廠","雲林縣二崙鄉崙西村中興路12號","台灣","0.02","0.003","0.06","合格"
"102","國產白米","金桔工廠","雲林縣四湖鄉鹿場村下鹿場路75號","台灣","0.02","0.004","0.02","合格"
"102","白米","富源碾米工廠","雲林縣大埤鄉嘉興村17號","台灣","0.07","0.004","0.01","合格"
"102","白米","安東發碾米工廠","雲林縣大埤鄉嘉興村3-1號","台灣","0.04","0.004","0.02","合格"
"102","白米","同利商行","雲林縣林內鄉中正路177號","台灣","0.04","未檢出","0.01","合格"
"102","白米","黃木慶米店","雲林縣林內鄉中正路176號","台灣","0.04","未檢出","0.01","合格"
"102","食米","振裕記碾米工廠","雲林縣虎尾鎮三合里舊部1-13號","台灣","0.02","未檢出","0.01","合格"
"102","食米","建通糧食工廠","雲林縣虎尾鎮穎川里頂南41-28號","台灣","0.07","未檢出","0.01","合格"
"102","國產白米","大豐碾米工廠","雲林縣荊桐鄉大美村大埔尾101號","台灣","0.03","未檢出","0.01","合格"
"102","白米","雲林縣南和合作農場碾米廠","雲林縣元長鄉內寮村內寮路三號","台灣","0.01","未檢出","0.01","合格"
"102","上水香米","永發碾米工廠","嘉義市東區吳鳳南路315號","台灣","0.023","0.002","0.03","合格"
"102","食用米","正昇碾米廠","嘉義市東區民族路77號","台灣","0.01","0.003","0.02","合格"
"102","食用米","振豐碾米廠","嘉義市北興街432號","台灣","0.03","0.002","0.03","合格"
"102","上水香米","永發碾米工廠","嘉義市東區吳鳳南路315號","台灣","0.012","0.003","0.01","合格"
"102","食用米","正昇碾米廠","嘉義市東區民族路77號","台灣","0.03","0.003","0.018","合格"
"102","食用米","振豐碾米廠","嘉義市北興街432號","台灣","0.02","0.002","0.015","合格"
"102","米","江山米","嘉義縣布袋鎮江山里34號","台灣","未檢出","0.002","0.027","合格"
"102","台灣米","正豐盛碾米廠","嘉義縣布袋鎮振寮里後壁寮106-2號","台灣","0.016","0.002","0.02","合格"
"102","米","新長記碾米廠","嘉義縣鹿草鄉光潭村下潭205之2號","台灣","0.01","0.004","0.02","合格"
"102","白米","瑞記碾米工廠","嘉義縣大林鎮三村里湖子頂5-1號","台灣","0.016","0.003","0.02","合格"
"102","吉利米","玉生碾米廠","嘉義縣朴子市崁後里37-3號","台灣","0.009","0.002","0.028","合格"
"102","蓬萊白米","正豐盛碾米廠","嘉義縣布袋鎮振寮里後壁寮106-2號","台灣","0.005","0.004","0.01","合格"
"102","江山米","江山米","嘉義縣布袋鎮江山里34號","台灣","0.014","0.003","0.01","合格"
"102","米","宏福米店","嘉義縣鹿草鄉光潭村下潭205之2號","台灣","0.02","0.002","0.018","合格"
"102","白米","新聯豐碾米工廠","嘉義縣大林鎮義和里2鄰13號","台灣","0.03","0.004","0.02","合格"
"102","白米","玉生碾米廠","嘉義縣朴子市崁後里37-3號","台灣","0.006","0.002","0.009","合格"
"102","白米","東興糧食工廠","嘉義縣新港鄉菜公村咬仔竹84號","台灣","0.02","未檢出","0.01","合格"
"102","台梗11號","豐碾米有限公司","嘉義縣大林鎮明和里甘蔗崙80號","台灣","0.04","未檢出","0.01","合格"
"102","益全香米","豐茂碾米工廠","嘉義縣六腳鄉蒜東村291號","台灣","0.03","未檢出","0.01","合格"
"102","白米","慶和碾米工廠","嘉義縣六腳鄉潭墘村77號","台灣","0.02","未檢出","0.01","合格"
"102","白米","建新碾米廠","台南市佳里區公園路287號","台灣","0.02","0.002","0.03","合格"
"102","池鮮米","同昌碾米廠","台南市新化區中正路425號","台灣","0.01","0.003","0.02","合格"
"102","糙米","晉發碾米廠","台南市新化區中正路439號","台灣","0.015","0.003","0.023","合格"
"102","蓬萊白米","新東碾米廠","台南市後壁區新東里新港東80之2號","台灣","0.01","0.002","0.02","合格"
"102","蓬萊白米","弘昌碾米廠","台南市下營區賀建里下橋頭1-9號","台灣","0.03","0.003","0.03","合格"
"102","白米","建新碾米廠","台南市佳里區公園路287號","台灣","0.012","0.002","0.01","合格"
"102","頂級壽司米","晉發碾米廠","台南市新化區中正路439號","台灣","0.03","0.002","0.02","合格"
"102","池鮮米","同昌碾米廠","台南市新化區中正路425號","台灣","0.02","0.002","0.01","合格"
"102","發財米","弘昌碾米廠","台南市下營區賀建村下橋頭1-9號","台灣","0.02","0.002","0.01","合格"
"102","蓬萊米","新東碾米廠","台南市後壁區新港東80之2號","台灣","0.01","0.002","0.01","合格"
"102","白米","和春碾米廠","高雄市林園區東林西路155號","台灣","0.02","0.002","0.02","合格"
"102","糙米","和春碾米廠","高雄市林園區東林西路155號","台灣","0.018","0.005","0.02","合格"
"102","白米","長吉安碾米廠","高雄市林園區東林西路420號","台灣","0.02","0.002","0.03","合格"
"102","白米","新兆豐米廠","高雄市旗山區中山路198號","台灣","0.02","0.003","0.02","合格"
"102","白米","新同億米店","高雄市旗山區仁和街55號","台灣","0.01","0.003","0.02","合格"
"102","糯米","豐亨行","高雄市旗山區民生二街20號","台灣","0.01","0.003","0.02","合格"
"102","白米","長吉安碾米廠","高雄市林園區東林西路420號","台灣","0.012","0.002","0.01","合格"
"102","糙米","和春碾米廠","高雄市林園區東林西路155號","台灣","0.014","0.003","0.011","合格"
"102","白米","和春碾米廠","高雄市林園區東林西路155號","台灣","0.012","0.006","0.01","合格"
"102","縱谷好米東好米","福來米行","高雄市鳳山區鳳松路356號","台灣","0.01","0.005","0.01","合格"
"102","＂松＂精選尖糯白米","福來米行","高雄市鳳山區鳳松路356號","台灣","0.02","0.002","0.01","合格"
"102","連春牌蓬萊糙米","福來米行","高雄市鳳山區鳳松路356號","台灣","0.03","0.004","0.02","合格"
"102","白米","屏東市農會碾米廠","屏東市橋南里工業路2號","台灣","0.02","0.002","0.03","合格"
"102","白米","順寶碾米廠","屏東市中正路255-3號","台灣","0.02","0.003","0.02","合格"
"102","白米","新協利碾米廠","屏東縣長治鄉長興路57號","台灣","0.02","0.003","0.02","合格"
"102","縱谷好米","順元碾米廠","屏東市瀋陽街28號","台灣","0.02","0.004","0.03","合格"
"102","台灣新鶴米","聯昌碾米廠","屏東市大同路10號","台灣","0.013","0.003","0.025","合格"
"102","白米","屏東市農會碾米廠","屏東市橋南里工業路2號","台灣","0.005","0.006","0.01","合格"
"102","白米","順寶碾米廠","屏東市中正路255-3號","台灣","0.03","0.002","0.02","合格"
"102","白米","新協利碾米廠","屏東縣長治鄉長興路57號","台灣","0.02","0.002","0.01","合格"
"102","縱谷好米","順元碾米廠","屏東市瀋陽街28號","台灣","0.02","0.002","0.007","合格"
"102","上水香米","聯昌碾米廠","屏東市大同路10號","台灣","0.02","0.002","0.009","合格"
"103","桃園米","東興碾米廠","桃園縣蘆竹縣中福村龍安街二段211號","台灣","0.1","未檢出","0.02","合格"
"103","雲林-西螺特選加工用在萊米","泰安碾米工廠","桃園縣新屋鄉社子村中興路861號","台灣","0.02","0.005","0.01","合格"
"103","頂級長秈米","泰安碾米工廠","桃園縣新屋鄉社子村中興路861號","台灣","0.07","未檢出","0.01","合格"
"103","桃園米","黃永興碾米工廠","桃園縣大溪鎮仁和路一段203號","台灣","0.06","未檢出","0.02","合格"
"103","統一牌壽司米","廣利碾米工廠","桃園縣平鎮市金陵路5段15號","台灣","0.07","未檢出","0.02","合格"
"103","白米(第一期)","東興碾米廠","桃園縣蘆竹縣中福村龍安街二段211號","台灣","0.09","未檢出","未檢出","合格"
"103","西螺米","黃永興碾米工廠","桃園縣大溪鎮仁和路一段203號","台灣","0.06","未檢出","未檢出","合格"
"103","白米","泰安碾米工廠","桃園縣新屋鄉社子村中興路861號","台灣","0.06","未檢出","0.05","合格"
"103","白米(第一期)","隆安碾米工廠","桃園縣平鎮市鎮興里陸橋南路139號","台灣","未檢出","未檢出","未檢出","合格"
"103","白米(第一期)","廣利碾米廠","桃園縣平鎮市金陵路五段15號","台灣","0.03","未檢出","未檢出","合格"
"103","壽司米","福光碾米工廠","新竹縣橫山鄉田寮村田洋街117號","台灣","0.16","未檢出","0.01","合格"
"103","皇帝米","興農碾米工廠","新竹縣竹東鎮中興路3段86號","台灣","0.07","未檢出","0.01","合格"
"103","御川米","清山米店","新竹縣新豐鄉松柏村康和路62號","台灣","0.05","未檢出","0.01","合格"
"103","新埔良質米","新埔鎮農會四座里稻穀加工廠","新竹縣新埔鎮楊新路一段322號","台灣","0.12","未檢出","0.01","合格"
"103","壽司米","福光碾米工廠","新竹縣橫山鄉田寮村田洋街117號","台灣","0.09","未檢出","未檢出","合格"
"103","皇帝米","興農碾米工廠","新竹縣竹東鎮中興路3段86號","台灣","0.04","未檢出","未檢出","合格"
"103","新埔良質米","新埔鎮農會四座里稻穀加工廠","新竹縣新埔鎮楊新路一段322號","台灣","0.09","未檢出","未檢出","合格"
"103","御川米","清山米店","新竹縣新豐鄉松柏村康和路62號","台灣","0.04","未檢出","未檢出","合格"
"103","池農米","振發米店/宜蘭縣宜蘭市崇聖街17號","宜蘭縣壯園鄉永美路3段96號","台灣","0.03","未檢出","未檢出","合格"
"103","秈稻米","拱照碾米廠","宜蘭縣三星鄉拱照村三星路三段138號","台灣","0.03","未檢出","未檢出","合格"
"103","秈稻米","德豐碾米廠","宜蘭縣三星鄉三星路四段438號","台灣","0.1","未檢出","未檢出","合格"
"103","蓬萊白米(高雄145號)","五結鄉農會孝威碾米廠","宜蘭縣五結鄉孝威路412號","台灣","0.03","未檢出","未檢出","合格"
"103","梗米","佳豐碾米廠","壯園鄉大福路三段2號","台灣","未檢出","未檢出","未檢出","合格"
"103","華興碾米工廠","德豐碾米廠","三星鄉三星路七段116號","台灣","0.02","未檢出","未檢出","合格"
"103","宜蘭蓬萊米","順發碾米廠","三星鄉三星路六段245號","台灣","0.03","未檢出","未檢出","合格"
