年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,檢驗結果
"99","食用米","金永發碾米廠","嘉義市吳鳳南路128號","台灣","0.04","0.007","0.05","合格"
"99","食用米","德和碾米廠","嘉義市吳鳳南路297號","台灣","0.12","0.002","0.02","合格"
"99","食用米","永發碾米廠","嘉義市吳鳳南路315號","台灣","0.03","0.003","0.01","合格"
"99","食用米","金永發碾米廠","嘉義市吳鳳南路128號","台灣","0.01","0.007","0.03","合格"
"99","食用米","永發碾米廠","嘉義市吳鳳南路315號","台灣","0.02","0.01","0.03","合格"
"99","食用米","德和碾米廠","嘉義市吳鳳南路297號","台灣","0.02","0.007","0.04","合格"
"99","白米","瑞記碾米廠","嘉義縣大林鎮溝背里溝背185號","台灣","0.03","0.005","0.05","合格"
"99","白米","新聯豐碾米廠","嘉義縣大林鎮義和里三塊厝13號","台灣","0.04","0.005","0.09","合格"
"99","白米","長豐碾米廠","嘉義縣大林鎮明和里甘蔗崙80號","台灣","0.04","0.002","0.02","合格"
"99","白米","谷平碾米廠","嘉義縣太保市梅埔里梅子厝62之2號","台灣","0.03","0.004","0.02","合格"
"99","白米","田邊碾米廠","嘉義縣太保市後潭里後潭302號","台灣","0.02","0.002","0.01","合格"
"99","食米","瑞記碾米廠","嘉義縣大林鎮溝背里溝背185號","台灣","0.02","0.012","0.03","合格"
"99","食米","新聯豐碾米廠","嘉義縣大林鎮義和里三塊厝13號","台灣","0.01","0.006","0.02","合格"
"99","食米","谷平碾米廠","嘉義縣太保市梅埔里梅子厝62之2號","台灣","0.02","0.011","未檢出","合格"
"99","食米","長豐碾米廠","嘉義縣大林鎮明和里甘蔗崙80號","台灣","0.02","0.005","0.01","合格"
"99","食米","田邊碾米廠","嘉義縣太保市後潭里後潭302號","台灣","0.03","0.011","0.04","合格"
"99","白米","後壁鄉農會","台南縣後壁鄉頂安路300號","台灣","0.03","0.004","未檢出","合格"
"99","越光米","六甲農會第二碾米廠","台南縣六甲鄉中社村林鳳營21號","台灣","0.02","0.002","0.03","合格"
"99","台稉九號","六甲農會第二碾米廠","台南縣六甲鄉中社村林鳳營21號","台灣","0.02","0.003","0.02","合格"
"99","壽司米","新隆興碾米工廠","台南縣將軍鄉保源村苓保29號","台灣","0.02","0.003","0.01","合格"
"99","糯米","永林碾米廠","台南縣學甲鎮頭港子2號","台灣","0.02","0.002","0.01","合格"
"99","台稉十一號","新協豐碾米廠","台南縣七股鄉大埕村327號","台灣","0.02","0.011","0.03","合格"
"99","蓬萊白米","新營市農會碾米工廠","台南縣新營市中正路430巷112號","台灣","0.02","0.003","0.03","合格"
"99","香田好米","允盛碾米廠","台南縣新營市建國路253號","台灣","0.02","0.007","0.07","合格"
"99","大橋胚芽糙米","怡昌米店","台南縣歸仁鄉民族北街15號","台灣","0.02","0.006","0.03","合格"
"99","白米","怡昌米店","台南縣歸仁鄉民族北街15號","台灣","0.02","0.007","0.03","合格"
"99","良質白米","美濃鎮農會高埔米廠","高雄縣美濃鎮光明路100巷8號","台灣","0.06","0.013","0.06","合格"
"99","精選白米","美濃鎮農會高埔米廠","高雄縣美濃鎮光明路100巷8號","台灣","0.05","0.009","0.06","合格"
